CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),,Customer Email
1,Male,19,15,39,,ratke.elmer@kuhlman.biz
2,Male,21,15,81,,hoeger.giuseppe@rowe.com
3,Female,20,16,6,,ylang@bailey.info
4,Female,23,16,77,,lleuschke@hotmail.com
5,Female,31,17,40,,fsporer@huels.org
6,Female,22,17,76,,balistreri.keven@lemke.com
7,Female,35,18,6,,stevie63@kozey.com
8,Female,23,18,94,,berge.mittie@cruickshank.com
9,Male,64,19,3,,thompson.deshaun@price.biz
10,Female,30,19,72,,klein.alena@ortiz.com
11,Male,67,19,14,,emmitt.medhurst@harris.com
12,Female,35,19,99,,xzemlak@morar.biz
13,Female,58,20,15,,keara.flatley@yahoo.com
14,Female,24,20,77,,braeden02@ledner.com
15,Male,37,20,13,,rice.alvina@krajcik.com
16,Male,22,20,79,,halvorson.myah@kris.org
17,Female,35,21,35,,ylangosh@yahoo.com
18,Male,20,21,66,,roosevelt.herzog@gmail.com
19,Male,52,23,29,,katrine11@jacobs.com
20,Female,35,23,98,,susanna.johnson@gmail.com
21,Male,35,24,35,,kallie.cummerata@gmail.com
22,Male,25,24,73,,lwiza@gmail.com
23,Female,46,25,5,,stoltenberg.name@hotmail.com
24,Male,31,25,73,,eliseo.weber@ebert.com
25,Female,54,28,14,,mjones@yahoo.com
26,Male,29,28,82,,ucole@yahoo.com
27,Female,45,28,32,,georgette54@yahoo.com
28,Male,35,28,61,,chaim73@eichmann.info
29,Female,40,29,31,,katheryn.wunsch@hotmail.com
30,Female,23,29,87,,nschaden@king.com
31,Male,60,30,4,,kaleb.altenwerth@wintheiser.org
32,Female,21,30,73,,krosenbaum@hudson.biz
33,Male,53,33,4,,umohr@beer.net
34,Male,18,33,92,,cronin.gayle@gmail.com
35,Female,49,33,14,,qkulas@blick.biz
36,Female,21,33,81,,christophe85@gmail.com
37,Female,42,34,17,,konopelski.mossie@dietrich.com
38,Female,30,34,73,,acremin@gerhold.net
39,Female,36,37,26,,wilson.gibson@dickinson.biz
40,Female,20,37,75,,kirlin.mable@halvorson.com
41,Female,65,38,35,,corkery.carley@schultz.biz
42,Male,24,38,92,,aglae.mann@yahoo.com
43,Male,48,39,36,,omosciski@kuhn.biz
44,Female,31,39,61,,olesch@yahoo.com
45,Female,49,39,28,,mwalter@torphy.org
46,Female,24,39,65,,fay.moore@yahoo.com
47,Female,50,40,55,,geo.becker@yahoo.com
48,Female,27,40,47,,dach.everette@gmail.com
49,Female,29,40,42,,rcole@gmail.com
50,Female,31,40,42,,fstamm@gmail.com
51,Female,49,42,52,,vesta.lesch@thiel.biz
52,Male,33,42,60,,marilyne00@yahoo.com
53,Female,31,43,54,,lilyan.koepp@hotmail.com
54,Male,59,43,60,,zwilkinson@mosciski.com
55,Female,50,43,45,,zmuller@hotmail.com
56,Male,47,43,41,,douglas.rhianna@bogan.com
57,Female,51,44,50,,lhintz@yahoo.com
58,Male,69,44,46,,wiza.will@pouros.org
59,Female,27,46,51,,torp.tara@yahoo.com
60,Male,53,46,46,,weissnat.hershel@abernathy.com
61,Male,70,46,56,,eleffler@gmail.com
62,Male,19,46,55,,cleta.cummerata@hotmail.com
63,Female,67,47,52,,rosemary.ward@yahoo.com
64,Female,54,47,59,,kurt48@hotmail.com
65,Male,63,48,51,,charity53@becker.org
66,Male,18,48,59,,giovanna13@gmail.com
