CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),,Customer Email
1,Male,19,15,39,,genesis.simonis@huels.net
2,Male,21,15,81,,kaleb14@kub.com
3,Female,20,16,6,,iturcotte@yahoo.com
4,Female,23,16,77,,zwalker@hotmail.com
5,Female,31,17,40,,thompson.armand@yahoo.com
6,Female,22,17,76,,ikulas@breitenberg.com
7,Female,35,18,6,,satterfield.ora@torp.com
8,Female,23,18,94,,kole78@yahoo.com
9,Male,64,19,3,,damore.flossie@simonis.info
10,Female,30,19,72,,kfadel@yahoo.com
11,Male,67,19,14,,jammie72@jast.com
12,Female,35,19,99,,violette.luettgen@turner.com
13,Female,58,20,15,,ryann97@gmail.com
14,Female,24,20,77,,pagac.kiera@gmail.com
15,Male,37,20,13,,runolfsson.jamal@yahoo.com
16,Male,22,20,79,,ken18@gmail.com
17,Female,35,21,35,,qhessel@torp.com
18,Male,20,21,66,,carter.kaycee@herman.com
19,Male,52,23,29,,mollie97@kuhlman.org
20,Female,35,23,98,,dawn.monahan@gmail.com
21,Male,35,24,35,,madison18@runolfsdottir.info
22,Male,25,24,73,,eoreilly@yahoo.com
23,Female,46,25,5,,spencer.effertz@gmail.com
24,Male,31,25,73,,joshua09@gmail.com
25,Female,54,28,14,,elizabeth68@nikolaus.com
26,Male,29,28,82,,estevan31@hotmail.com
27,Female,45,28,32,,pcummings@gmail.com
28,Male,35,28,61,,major55@witting.info
29,Female,40,29,31,,tess.feeney@hill.com
30,Female,23,29,87,,gmertz@hotmail.com
31,Male,60,30,4,,lourdes08@hotmail.com
32,Female,21,30,73,,darryl.block@reilly.com
33,Male,53,33,4,,casandra82@yahoo.com
34,Male,18,33,92,,dangelo.stiedemann@gmail.com
35,Female,49,33,14,,kilback.garret@gmail.com
36,Female,21,33,81,,vicente81@lind.com
37,Female,42,34,17,,mkozey@barton.biz
38,Female,30,34,73,,itzel.hahn@yahoo.com
39,Female,36,37,26,,bartoletti.ruthie@ziemann.com
40,Female,20,37,75,,nschmeler@blick.com
41,Female,65,38,35,,theodore54@hotmail.com
42,Male,24,38,92,,cruecker@hotmail.com
43,Male,48,39,36,,wveum@lemke.com
44,Female,31,39,61,,pfay@towne.com
45,Female,49,39,28,,kale.pollich@kovacek.net
46,Female,24,39,65,,nathanael99@sporer.com
47,Female,50,40,55,,jeramie.cummings@kuphal.com
48,Female,27,40,47,,lswift@runolfsdottir.info
49,Female,29,40,42,,luettgen.myles@yahoo.com
50,Female,31,40,42,,opredovic@huels.com
51,Female,49,42,52,,jessika12@gmail.com
52,Male,33,42,60,,nbogisich@schaefer.info
53,Female,31,43,54,,umurray@cassin.com
54,Male,59,43,60,,katharina20@gmail.com
55,Female,50,43,45,,omccullough@bergnaum.info
56,Male,47,43,41,,fritsch.jennifer@reinger.net
57,Female,51,44,50,,lucinda.oreilly@gulgowski.com
58,Male,69,44,46,,richmond48@jakubowski.com
59,Female,27,46,51,,camden38@armstrong.org
60,Male,53,46,46,,breanna09@mayer.biz
61,Male,70,46,56,,ashly23@yahoo.com
62,Male,19,46,55,,rbeier@will.com
63,Female,67,47,52,,klein.tamara@stiedemann.org
64,Female,54,47,59,,gregory.mclaughlin@denesik.com
65,Male,63,48,51,,noelia.osinski@gmail.com
66,Male,18,48,59,,doug25@gmail.com
67,Female,43,48,50,,frami.benton@rath.info
68,Female,68,48,48,,feil.carolyn@mcdermott.com
69,Male,19,48,59,,kendra24@mckenzie.biz
70,Female,32,48,47,,west.rossie@gmail.com
71,Male,70,49,55,,ernestina.boyer@gmail.com
72,Female,47,49,42,,dietrich.athena@gmail.com
73,Female,60,50,49,,randal37@gmail.com
74,Female,60,50,56,,manuel35@bayer.biz
75,Male,59,54,47,,fae.paucek@hotmail.com
76,Male,26,54,54,,alejandra.gusikowski@mccullough.org
77,Female,45,54,53,,austyn71@labadie.info
78,Male,40,54,48,,mayer.jerome@gmail.com
79,Female,23,54,52,,urban51@schaefer.com
80,Female,49,54,42,,von.alden@hotmail.com
81,Male,57,54,51,,beatty.icie@yahoo.com
82,Male,38,54,55,,eudora.cartwright@yahoo.com
83,Male,67,54,41,,rwelch@hotmail.com
84,Female,46,54,44,,gorczany.ara@yahoo.com
85,Female,21,54,57,,uwilderman@olson.com
86,Male,48,54,46,,wlarson@yahoo.com
87,Female,55,57,58,,hanna.homenick@murray.com
88,Female,22,57,55,,macejkovic.gaylord@altenwerth.com
89,Female,34,58,60,,gschimmel@hotmail.com
90,Female,50,58,46,,clark34@kuhic.com
91,Female,68,59,55,,grimes.ella@dibbert.biz
92,Male,18,59,41,,klocko.ronny@willms.biz
93,Male,48,60,49,,owen.hyatt@yahoo.com
94,Female,40,60,40,,zokuneva@jones.biz
95,Female,32,60,42,,gnolan@hotmail.com
96,Male,24,60,52,,botsford.bailey@yahoo.com
97,Female,47,60,47,,oferry@schuppe.biz
98,Female,27,60,50,,leuschke.anahi@hotmail.com
99,Male,48,61,42,,hobart.ankunding@yahoo.com
100,Male,20,61,49,,chaim.crooks@jones.com
101,Female,23,62,41,,qschneider@oconner.net
102,Female,49,62,48,,rashawn23@stiedemann.com
103,Male,67,62,59,,nolan.adele@yahoo.com
104,Male,26,62,55,,alda.pfeffer@nicolas.com
105,Male,49,62,56,,shaun28@yahoo.com
106,Female,21,62,42,,patricia.heaney@von.com
107,Female,66,63,50,,wfunk@schamberger.com
108,Male,54,63,46,,crystal76@langosh.biz
109,Male,68,63,43,,jerrell97@towne.org
110,Male,66,63,48,,cecilia.blick@gmail.com
111,Male,65,63,52,,kassulke.terrance@renner.com
112,Female,19,63,54,,keeling.talia@yahoo.com
113,Female,38,64,42,,hmosciski@yahoo.com
114,Male,19,64,46,,arnoldo.schowalter@ruecker.com
