CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),,Customer Email
1,Male,19,15,39,,kendra.hermiston@goyette.org
2,Male,21,15,81,,wwuckert@murphy.net
3,Female,20,16,6,,stella59@rutherford.com
4,Female,23,16,77,,hpfannerstill@yahoo.com
5,Female,31,17,40,,hartmann.malachi@ryan.com
6,Female,22,17,76,,bboyer@yahoo.com
7,Female,35,18,6,,miller19@harvey.com
8,Female,23,18,94,,elyssa33@hotmail.com
9,Male,64,19,3,,luella82@gmail.com
10,Female,30,19,72,,nathan02@mante.com
11,Male,67,19,14,,stroman.creola@hotmail.com
12,Female,35,19,99,,dickinson.jarvis@hotmail.com
13,Female,58,20,15,,von.julius@nikolaus.com
14,Female,24,20,77,,alford.schmeler@yahoo.com
15,Male,37,20,13,,oconner.ozella@yahoo.com
16,Male,22,20,79,,tremblay.tyrese@schiller.com
17,Female,35,21,35,,felicity62@runolfsdottir.com
18,Male,20,21,66,,carroll39@hotmail.com
19,Male,52,23,29,,mallie38@watsica.com
20,Female,35,23,98,,brandi.prohaska@hayes.biz
21,Male,35,24,35,,maudie.gulgowski@hotmail.com
22,Male,25,24,73,,nreynolds@yahoo.com
23,Female,46,25,5,,borer.kenyatta@hotmail.com
24,Male,31,25,73,,kiehn.dannie@corwin.com
25,Female,54,28,14,,xhills@hotmail.com
26,Male,29,28,82,,dernser@gmail.com
27,Female,45,28,32,,dominique35@zieme.biz
28,Male,35,28,61,,jazmin.corkery@yahoo.com
29,Female,40,29,31,,ortiz.madie@yahoo.com
30,Female,23,29,87,,maggio.anita@wunsch.com
31,Male,60,30,4,,reggie.bechtelar@gmail.com
32,Female,21,30,73,,abbie.considine@schuster.com
33,Male,53,33,4,,lesley.schowalter@yahoo.com
34,Male,18,33,92,,peggie06@legros.com
35,Female,49,33,14,,donnelly.laverna@davis.com
36,Female,21,33,81,,homenick.weldon@hotmail.com
37,Female,42,34,17,,vito.gibson@yahoo.com
38,Female,30,34,73,,roob.patsy@braun.com
39,Female,36,37,26,,talon60@gmail.com
